id,job_title,rating,company_name,work_site,work_site_catagory,contract_type,salary,city,state,min_salary,max_salary,salary_type,average_salary,yearly_salary,Category,Range
1,"Individual/Independent Consultant - Data Analytics, Food Security and Agroclimatology Specialist",,American Institutes for Research,Remote,2.0,Full-Time,N/A,,,,,,,,,
2,Data Scientist,4.0,Albert Einstein College of Medicine,"On-Site,Remote",1.0,Full-Time,"$99,000 - $110,000 a year - Full-time",Bronx,NY,99000.0,110000.0,per year,104500.0,104500.0,3.0,$100001 - $150000
3,Machine Learning Engineer,3.7,CIGNEX Datamatics,Remote,2.0,Full-Time,N/A,,,,,,,,,
4,Qualitative Data Researcher,4.7,Redcloud Consulting,"On-Site,Remote",1.0,Full-Time,$45 - $53 an hour,Bellevue,WA,45.0,53.0,per hour,49.0,101920.0,3.0,$100001 - $150000
5,Statistician,4.3,US National Institutes of Health,Remote,2.0,Full-Time,"$122,198 - $191,900 a year - Full-time",,,122198.0,191900.0,per year,157049.0,157049.0,4.0,$150001 - $200000
6,Research Associate - Segmenting and 3D Visualization - Remote or Hybrid,3.7,Ochsner Health System,"On-Site,Remote",1.0,Full-Time,N/A,New Orleans,LA,,,,,,,
7,Statistician I,3.4,Jackson Lewis,"On-Site,Remote",1.0,Full-Time,$35 - $45 an hour - Full-time,Denver,CO,35.0,45.0,per hour,40.0,83200.0,2.0,$50001 - $100000
8,Vice President - Reporting and Data Analytics,2.9,Modvicare,Remote,2.0,Full-Time,"$202,300 - $283,200 a year - Full-time",,,202300.0,283200.0,per year,242750.0,242750.0,5.0,$200001 - $250000
9,Data Scientist,,Norstella,Remote,2.0,Full-Time,"$100,000 - $120,000 a year - Full-time",,,100000.0,120000.0,per year,110000.0,110000.0,3.0,$100001 - $150000
10,Assessment Writer and Reviewer,,Correlation One,Remote,2.0,Full-Time,$50 - $100 a day,,,50.0,100.0,per day,75.0,19500.0,1.0,$10000 - $50000
11,Data Science Manager,3.9,Atlassian,"On-Site,Remote",1.0,Full-Time,"$167,100 - $268,400 a year - Full-time",San Francisco,CA,167100.0,268400.0,per year,217750.0,217750.0,5.0,$200001 - $250000
12,Data Scientist,3.8,"Geosyntec Consultants, Inc.","On-Site,Remote",1.0,Full-Time,N/A,Kennesaw,GA,,,,,,,
13,"Technical Sourcer, Data Science & Engineering (6 Month Contract)",,AiDash,"On-Site,Remote",1.0,Contract,$55 - $70 an hour - Contract,Palo Alto,CA,55.0,70.0,per hour,62.5,130000.0,3.0,$100001 - $150000
14,Growth Operations Associate,3.1,Vida Health,Remote,2.0,Full-Time,N/A,,,,,,,,,
16,Product Head of Support Product,3.8,Afterpay,"On-Site,Remote",1.0,Full-Time,"$290,000 - $435,000 a year - Full-time",San Francisco,CA,290000.0,435000.0,per year,362500.0,362500.0,7.0,$300001 - $400000
17,VP of Data Science,3.8,VEVO,Remote,2.0,Full-Time,"$250,000 - $285,000 a year - Full-time",,,250000.0,285000.0,per year,267500.0,267500.0,6.0,$250001 - $300000
18,Data Scientist – Remote,,Sanmina Corporation,"On-Site,Remote",1.0,Full-Time,"$100,000 - $150,000 a year",San Jose,CA,100000.0,150000.0,per year,125000.0,125000.0,3.0,$100001 - $150000
19,Manufacturing and Clinical Supply Senior Data Scientist,4.0,Amgen,"On-Site,Remote",1.0,Full-Time,"$143,314 - $169,083 a year",Los Angeles,CA,143314.0,169083.0,per year,156198.5,156198.5,4.0,$150001 - $200000
20,Data Analytics 2 (Climate and Energy),3.6,Abt Global,"On-Site,Remote",1.0,Full-Time,"$72,000 - $110,000 a year - Full-time",Rockville,MD,72000.0,110000.0,per year,91000.0,91000.0,2.0,$50001 - $100000
21,Senior Manager - Organizational Data Analytics and Insights,,Modvicare,Remote,2.0,Full-Time,"$111,000 - $149,900 a year",,,111000.0,149900.0,per year,130450.0,130450.0,3.0,$100001 - $150000
22,Clinical Data Manager,3.9,American Heart Association,"On-Site,Remote",1.0,Full-Time,"$85,000 - $93,000 a year - Full-time",Cleveland,OH,85000.0,93000.0,per year,89000.0,89000.0,2.0,$50001 - $100000
23,VP of Data Integration and Analytics,,Howden Group Holdings,Remote,2.0,Full-Time,"$200,000 a year - Full-time",,,200000.0,,per year,200000.0,200000.0,4.0,$150001 - $200000
24,Senior Data Analyst - Quality Assurance - Remote,3.5,Olympus Corporation of the Americas,"On-Site,Remote",1.0,Full-Time,"$75,624 - $102,092 a year - Full-time",Center Valley,PA,75624.0,102092.0,per year,88858.0,88858.0,2.0,$50001 - $100000
25,Medical Coding & Surgery Authorizations Specialist,3.7,University of Colorado Medicine,"On-Site,Remote",1.0,Full-Time,$27.73 - $31.21 an hour - Full-time,Aurora,CO,27.73,31.21,per hour,29.47,61297.6,2.0,$50001 - $100000
26,Applied AI Scientist,,ClimateAI,Remote,2.0,Full-Time,"$160,000 - $220,000 a year",,,160000.0,220000.0,per year,190000.0,190000.0,4.0,$150001 - $200000
27,Sr. Data Scientist,3.8,Pinterest,Remote,2.0,Full-Time,"$123,470 - $254,024 a year",,,123470.0,254024.0,per year,188747.0,188747.0,4.0,$150001 - $200000
28,Staff Data Scientist,4.2,BitSight,Remote,2.0,Full-Time,"$150,000 - $170,000 a year - Full-time",,,150000.0,170000.0,per year,160000.0,160000.0,4.0,$150001 - $200000
29,Data Scientist,3.4,ICF,"On-Site,Remote",1.0,Full-Time,"$79,154 - $134,561 a year - Full-time",Raleigh,NC,79154.0,134561.0,per year,106857.5,106857.5,3.0,$100001 - $150000
31,Healthcare MLOps Databricks AWS - Machine Learning Operations Engineer (Remote),,Mercy,"On-Site,Remote",1.0,Full-Time,N/A,Chesterfield,MO,,,,,,,
32,Data Scientist - CCSG & Extramural Research Development,4.1,MD Anderson Cancer Center,"On-Site,Remote",1.0,Full-Time,"$103,000 - $155,000 a year - Full-time",Houston,TX,103000.0,155000.0,per year,129000.0,129000.0,3.0,$100001 - $150000
33,Junior Software Implementation Consultant,3.8,WSP,"On-Site,Remote",1.0,Full-Time,"$65,400 - $107,910 a year",Denver,CO,65400.0,107910.0,per year,86655.0,86655.0,2.0,$50001 - $100000
34,Principal Data Science Analyst - Remote,,Mayo Clinic,"On-Site,Remote",1.0,Full-Time,"$141,689 - $205,420 a year",Rochester,MN,141689.0,205420.0,per year,173554.5,173554.5,4.0,$150001 - $200000
35,Machine Learning Engineer,1.8,Havenly,"On-Site,Remote",1.0,Full-Time,$160 - $190 a day - Full-time,Denver,CO,160.0,190.0,per day,175.0,45500.0,1.0,$10000 - $50000
36,Senior Analyst - Health Informatics,,Norstella,Remote,2.0,Full-Time,"$90,000 - $115,000 a year - Full-time",,,90000.0,115000.0,per year,102500.0,102500.0,3.0,$100001 - $150000
37,"Staff Machine Learning Engineer, Applied Science",3.8,Pinterest,"On-Site,Remote",1.0,Full-Time,"$200,117 - $411,650 a year",San Francisco,CA,200117.0,411650.0,per year,305883.5,305883.5,7.0,$300001 - $400000
38,Visualization Engineer (L5) - Content & Studio,3.9,Netflix,Remote,2.0,Full-Time,"$170,000 - $720,000 a year - Full-time",,,170000.0,720000.0,per year,445000.0,445000.0,8.0,$400001 - $500000
39,Data Scientist/Prompt Engineer (Remote),3.4,ICF,"On-Site,Remote",1.0,Full-Time,"$92,986 - $158,076 a year - Full-time",Reston,VA,92986.0,158076.0,per year,125531.0,125531.0,3.0,$100001 - $150000
40,"Data Science Manager, Marketing Applied Sciences Team",4.0,General Motors,Remote,2.0,Full-Time,"$137,000 - $214,300 a year - Full-time",,,137000.0,214300.0,per year,175650.0,175650.0,4.0,$150001 - $200000
41,"Staff Data Engineer, Activation Science",4.0,General Motors,Remote,2.0,Full-Time,N/A,,,,,,,,,
43,Data Science Analyst III / Office of Enterprise Data (OED),4.1,Children's Hospital Los Angeles,"On-Site,Remote",1.0,Full-Time,N/A,Los Angeles,CA,,,,,,,
44,"Director I, Data Science",3.5,Liberty Mutual,Remote,2.0,Full-Time,"$141,200 - $246,900 a year - Full-time",,,141200.0,246900.0,per year,194050.0,194050.0,4.0,$150001 - $200000
46,Data Scientist,4.3,Colgate-Palmolive,"On-Site,Remote",1.0,Full-Time,"$91,000 - $128,000 a year - Full-time",New York,NY,91000.0,128000.0,per year,109500.0,109500.0,3.0,$100001 - $150000
47,Tableau Developer,4.1,Intone Networks,Remote,2.0,Contract,N/A,,,,,,,,,
48,"Manager, Analytics & Insights",2.4,Phreesia,Remote,2.0,Full-Time,"$105,000 - $110,000 a year - Full-time",,,105000.0,110000.0,per year,107500.0,107500.0,3.0,$100001 - $150000
49,Artificial Intelligence Engineer (Remote),4.1,Ford Motor Company,"On-Site,Remote",1.0,Full-Time,N/A,Dearborn,MI,,,,,,,
50,Building Electrification Associate (Remote - US),,Energy Solutions - USA,Remote,2.0,Full-Time,"$58,000 - $66,000 a year - Full-time",,,58000.0,66000.0,per year,62000.0,62000.0,2.0,$50001 - $100000
51,Quantitative Research Analyst,3.7,National Research Center for College & University Admissions,Remote,2.0,Full-Time,N/A,,,,,,,,,
52,"Tech Lead, ML/AI",,Lovelytics,Remote,2.0,Full-Time,"$125,000 - $165,000 a year - Full-time",,,125000.0,165000.0,per year,145000.0,145000.0,3.0,$100001 - $150000
53,Clinical Data Manager,2.4,Vibrent Health,Remote,2.0,Full-Time,N/A,,,,,,,,,
54,Generative AI Developer,5.0,"Clutch Group, Inc.","On-Site,Remote",1.0,Contract,N/A,Philadelphia,PA,,,,,,,
55,"Product Support Analyst, Senior",3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
56,"Staff Data Scientist, Metrics Quality",3.8,Pinterest,Remote,2.0,Full-Time,"$148,049 - $304,496 a year",,,148049.0,304496.0,per year,226272.5,226272.5,5.0,$200001 - $250000
57,"Machine Learning Engineer (Modeling), Risk",3.8,Afterpay,"On-Site,Remote",1.0,Full-Time,"$139,000 - $233,200 a year - Full-time",San Francisco,CA,139000.0,233200.0,per year,186100.0,186100.0,4.0,$150001 - $200000
58,"Director, R&D Data Governance",3.2,BeiGene,Remote,2.0,Full-Time,"$170,800 - $230,800 a year - Full-time",,,170800.0,230800.0,per year,200800.0,200800.0,5.0,$200001 - $250000
59,"Sr HCE Consultant, Data Science - Remote",,Optum,"On-Site,Remote",1.0,Full-Time,"$88,000 - $173,200 a year",Eden Prairie,MN,88000.0,173200.0,per year,130600.0,130600.0,3.0,$100001 - $150000
61,Staff Data Scientist,,Standard AI,Remote,2.0,Full-Time,"$200,000 - $235,000 a year - Full-time",,,200000.0,235000.0,per year,217500.0,217500.0,5.0,$200001 - $250000
62,Cloud Data Analytics Specialist,3.9,Logistics Management Institute,Remote,2.0,Full-Time,N/A,,,,,,,,,
63,"MANAGER, DIGITAL ANALYTICS (REMOTE OPPORTUNITY)",,"Hyatt Corporate Office, Chicago","On-Site,Remote",1.0,Full-Time,N/A,Chicago,IL,,,,,,,
64,"Manager, Vendor Risk Management (Remote)",3.6,CrowdStrike,Remote,2.0,Full-Time,"$115,000 - $185,000 a year - Full-time",,,115000.0,185000.0,per year,150000.0,150000.0,3.0,$100001 - $150000
65,Data Scientist,3.4,ASRC Federal Holding Company,Remote,2.0,Full-Time,N/A,,,,,,,,,
66,Senior Data Analyst,3.4,Encova Insurance,Remote,2.0,Full-Time,"$94,784 - $151,654 a year - Full-time",,,94784.0,151654.0,per year,123219.0,123219.0,3.0,$100001 - $150000
67,Forecasting and Optimization Specialist - Remote,,Optum,"On-Site,Remote",1.0,Full-Time,"$88,000 - $173,200 a year",Eden Prairie,MN,88000.0,173200.0,per year,130600.0,130600.0,3.0,$100001 - $150000
68,Real World Evidence (RWE) Data Scientist,,SimulStat,Remote,2.0,Contract,N/A,,,,,,,,,
69,Senior Applied Data Scientist,2.8,"R1 RCM, Inc.",Remote,2.0,Full-Time,"$63,140.06 - $143,517.00 a year - Full-time",,,63140.06,143517.0,per year,103328.53,103328.53,3.0,$100001 - $150000
70,Platform Consultant (Partners),3.6,Verint Systems Inc.,Remote,2.0,Full-Time,"$90,000 - $140,000 a year",,,90000.0,140000.0,per year,115000.0,115000.0,3.0,$100001 - $150000
71,"Manager, Data Science and Artificial Intelligence",3.1,Reflex Media Inc.,"On-Site,Remote",1.0,Full-Time,N/A,Las Vegas,NV,,,,,,,
72,Senior Data Analyst - Claims,3.4,Automobile Club of Southern California,"On-Site,Remote",1.0,Full-Time,N/A,Costa Mesa,CA,,,,,,,
73,"Lead AI/ML Engineer, Algorithms & Research",4.2,Upwork,"On-Site,Remote",1.0,Full-Time,"$186,000 - $279,000 a year - Full-time",Boston,MA,186000.0,279000.0,per year,232500.0,232500.0,5.0,$200001 - $250000
74,Technical Writer,3.0,GHX,Remote,2.0,Full-Time,"$64,600 - $86,100 a year",,,64600.0,86100.0,per year,75350.0,75350.0,2.0,$50001 - $100000
76,Go to Market Manager - Services,3.7,Infor,Remote,2.0,Full-Time,N/A,,,,,,,,,
77,"Senior AI Engineer, Financial Crimes (Cash App)",3.8,Afterpay,Remote,2.0,Full-Time,"$139,000 - $233,200 a year - Full-time",,,139000.0,233200.0,per year,186100.0,186100.0,4.0,$150001 - $200000
78,AI/MLOps Full Stack Engineer (Digital Consulting Associate) - Remote,3.4,Huron Consulting Group Inc.,"On-Site,Remote",1.0,Full-Time,"$105,000 - $153,400 a year - Full-time",Chicago,IL,105000.0,153400.0,per year,129200.0,129200.0,3.0,$100001 - $150000
79,"Customer Support Engineer, Machine Learning - US (Remote)",,Weights & Biases,Remote,2.0,Full-Time,"$81,000 - $111,000 a year - Full-time",,,81000.0,111000.0,per year,96000.0,96000.0,2.0,$50001 - $100000
80,"Data Science Senior Manager, Financial Crimes",3.5,KeyBank,"On-Site,Remote",1.0,Full-Time,"$110,000 - $180,000 a year - Full-time",Brooklyn,OH,110000.0,180000.0,per year,145000.0,145000.0,3.0,$100001 - $150000
81,SaaS Implementation Consultant,3.0,Precision Medicine Group,"On-Site,Remote",1.0,Full-Time,"$114,666 - $172,000 a year",Bethesda,MD,114666.0,172000.0,per year,143333.0,143333.0,3.0,$100001 - $150000
82,Data Solutions Architect - AI,3.3,Cotiviti,Remote,2.0,Full-Time,"$120,000 - $160,000 a year - Full-time",,,120000.0,160000.0,per year,140000.0,140000.0,3.0,$100001 - $150000
83,Product Machine Learning Research Leader,3.9,Netflix,Remote,2.0,Full-Time,N/A,,,,,,,,,
84,Researcher,4.0,Chapin Hall at the University of Chicago,Remote,2.0,Full-Time,"$74,000 - $98,572 a year - Full-time",,,74000.0,98572.0,per year,86286.0,86286.0,2.0,$50001 - $100000
85,Senior Data Scientist - Identity,3.8,Afterpay,"On-Site,Remote",1.0,Full-Time,"$120,700 - $213,000 a year - Full-time",San Francisco,CA,120700.0,213000.0,per year,166850.0,166850.0,4.0,$150001 - $200000
86,Machine Learning Engineer,,Bitwerx Inc,Remote,2.0,Full-Time,N/A,,,,,,,,,
87,Django Backend Developer,4.0,Spotter,"On-Site,Remote",1.0,Full-Time,N/A,Lemont,IL,,,,,,,
88,Data Scientist,,"SHR Consulting Group, LLC","On-Site,Remote",1.0,Full-Time,N/A,Alexandria,VA,,,,,,,
89,Oracle (EDQ) Administrator Visualization Anal,4.4,ATTAINX INC,"On-Site,Remote",1.0,Full-Time,"$60,000 - $65,000 a year - Full-time",Herndon,VA,60000.0,65000.0,per year,62500.0,62500.0,2.0,$50001 - $100000
91,"Senior Analyst, Operations and Strategy",3.5,Lakeview Loan Servicing,"On-Site,Remote",1.0,Full-Time,"$120,000 - $140,000 a year - Full-time",Coral Gables,FL,120000.0,140000.0,per year,130000.0,130000.0,3.0,$100001 - $150000
92,Head of AI Governance and Model Risk Management,3.5,Mission Lane,Remote,2.0,Full-Time,"$195,000 - $264,000 a year",,,195000.0,264000.0,per year,229500.0,229500.0,5.0,$200001 - $250000
93,Data Scientist Principal (REMOTE) – Life Insurance Company,3.7,USAA,"On-Site,Remote",1.0,Full-Time,"$182,680 - $349,150 a year",San Antonio,TX,182680.0,349150.0,per year,265915.0,265915.0,6.0,$250001 - $300000
94,Data Engineering Manager - Remote,3.5,NiSource,"On-Site,Remote",1.0,Full-Time,"$125,800 - $188,600 a year - Full-time",Columbus,OH,125800.0,188600.0,per year,157200.0,157200.0,4.0,$150001 - $200000
95,Data Engineer,,Messari,Remote,2.0,Full-Time,N/A,,,,,,,,,
96,Health Analytic Consultant - Remote in SE Region,3.7,UnitedHealthcare,"On-Site,Remote",1.0,Full-Time,N/A,Orlando,FL,,,,,,,
97,Accounting Analyst,,WARWICK INVESTMENT GROUP LLC,"On-Site,Remote",1.0,Full-Time,N/A,Dallas,TX,,,,,,,
98,Financial Modeling Analyst,3.8,American AgCredit,Remote,2.0,Full-Time,"$78,335.95 - $133,171.11 a year - Full-time",,,78335.95,133171.11,per year,105753.53,105753.53,3.0,$100001 - $150000
99,Enterprise Data Architect (Remote),3.5,Jazz Pharmaceuticals,"On-Site,Remote",1.0,Full-Time,"$172,000 - $258,000 a year",Boston,MA,172000.0,258000.0,per year,215000.0,215000.0,5.0,$200001 - $250000
100,Global Category Manager,4.2,Microsoft,"On-Site,Remote",1.0,Full-Time,"$94,600 - $200,500 a year - Full-time",Atlanta,GA,94600.0,200500.0,per year,147550.0,147550.0,3.0,$100001 - $150000
101,Staff Machine Learning Engineer,4.0,General Motors,Remote,2.0,Full-Time,"$157,800 - $241,800 a year - Full-time",,,157800.0,241800.0,per year,199800.0,199800.0,4.0,$150001 - $200000
102,Senior Data Scientist,,PHASTAR,Remote,2.0,Full-Time,N/A,,,,,,,,,
103,Senior Data Scientist,3.2,Sagility,Remote,2.0,Full-Time,"$87,610 - $110,000 a year - Full-time",,,87610.0,110000.0,per year,98805.0,98805.0,2.0,$50001 - $100000
106,Researcher in Machine Learning,3.6,Fujitsu,"On-Site,Remote",1.0,Full-Time,N/A,Santa Clara,CA,,,,,,,
107,Project Manager,3.0,Watts Water Technologies,Remote,2.0,Full-Time,"$90,000 - $110,000 a year - Full-time",,,90000.0,110000.0,per year,100000.0,100000.0,2.0,$50001 - $100000
108,"Associate Director, Commercial Data and Reporting",4.3,SAGE Therapeutics,Remote,2.0,Full-Time,"$146,791 - $201,837 a year - Full-time",,,146791.0,201837.0,per year,174314.0,174314.0,4.0,$150001 - $200000
109,Quantitative Analyst Associate (Spring/Summer 2025),,Philadelphia Phillies Baseball Operations Department,Remote,2.0,Full-Time,N/A,,,,,,,,,
110,Staff Data Scientist,3.3,Upstart,"On-Site,Remote",1.0,Full-Time,"$174,900 - $242,000 a year",San Mateo,CA,174900.0,242000.0,per year,208450.0,208450.0,5.0,$200001 - $250000
111,Staff Data Scientist (Applied ML),4.0,Coinbase,Remote,2.0,Full-Time,"$201,450 - $237,000 a year - Full-time",,,201450.0,237000.0,per year,219225.0,219225.0,5.0,$200001 - $250000
112,ML Engineer L5 - Ads Platform Engineering (Forecasting),3.9,Netflix,Remote,2.0,Full-Time,"$100,000 - $720,000 a year - Full-time",,,100000.0,720000.0,per year,410000.0,410000.0,8.0,$400001 - $500000
113,"Sr. Consultants, Data Science and Analytics",3.8,TransUnion,Remote,2.0,Full-Time,"$119,000 - $135,000 a year - Full-time",,,119000.0,135000.0,per year,127000.0,127000.0,3.0,$100001 - $150000
114,Machine Learning Infrastructure Engineer,3.7,Handshake,"On-Site,Remote",1.0,Full-Time,"$150,000 - $190,000 a year - Full-time",San Francisco Bay Area,CA,150000.0,190000.0,per year,170000.0,170000.0,4.0,$150001 - $200000
115,Senior Technical Product Manager - AI Accelerator - Remote,,Mayo Clinic,"On-Site,Remote",1.0,Full-Time,"$122,387.20 - $177,444.80 a year",Rochester,MN,122387.2,177444.8,per year,149916.0,149916.0,3.0,$100001 - $150000
116,Staff Applied Scientist,,Afresh,Remote,2.0,Full-Time,N/A,,,,,,,,,
117,Machine Learning Engineer (Remote),3.5,Progressive Leasing,Remote,2.0,Full-Time,N/A,,,,,,,,,
119,Analysis and Insights Specialist,2.9,Incubeta,"On-Site,Remote",1.0,Full-Time,"$80,000 - $110,000 a year - Full-time",Baltimore,MD,80000.0,110000.0,per year,95000.0,95000.0,2.0,$50001 - $100000
121,Data visualization,,,Remote,2.0,Full-Time,N/A,N/A,,,,,,,,
122,"Associate Client Partner, Data and People Analytics",3.4,KORNFERRY,Remote,2.0,Full-Time,N/A,,,,,,,,,
123,"Senior Machine Learning Modeler, Financial Crimes (Cash App)",3.8,Afterpay,"On-Site,Remote",1.0,Full-Time,"$139,000 - $233,200 a year - Full-time",San Francisco,CA,139000.0,233200.0,per year,186100.0,186100.0,4.0,$150001 - $200000
124,Transit and Review Supervisor,3.3,Resident Home,Remote,2.0,Full-Time,$27 - $29 an hour,,,27.0,29.0,per hour,28.0,58240.0,2.0,$50001 - $100000
125,Data Scientist – Editorial Data-Driven Publishing,3.9,HarperCollins Publishers,Remote,2.0,Full-Time,"$100,000 - $110,000 a year",,,100000.0,110000.0,per year,105000.0,105000.0,3.0,$100001 - $150000
126,Healthcare Provider Data SME,3.9,Logistics Management Institute,Remote,2.0,Full-Time,N/A,,,,,,,,,
127,Analytics Consultant,,Focus Strategies,Remote,2.0,Full-Time,"$85,000 - $115,000 a year - Full-time",,,85000.0,115000.0,per year,100000.0,100000.0,2.0,$50001 - $100000
128,Principal Data Scientist - Remote,3.6,UnitedHealth Group,"On-Site,Remote",1.0,Full-Time,"$104,700 - $190,400 a year - Full-time",Eden Prairie,MN,104700.0,190400.0,per year,147550.0,147550.0,3.0,$100001 - $150000
129,Clinical Apps Professional 4 Cadence/Prelude - IS - Epic - FT - Day - Remote,4.1,"University of California, Irvine","On-Site,Remote",1.0,Full-Time,"$104,900 - $198,900 a year - Full-time",Irvine,CA,104900.0,198900.0,per year,151900.0,151900.0,4.0,$150001 - $200000
130,Statistician 2,4.0,E. & J. Gallo,Remote,2.0,Full-Time,"$98,000 - $147,000 a year - Full-time",,,98000.0,147000.0,per year,122500.0,122500.0,3.0,$100001 - $150000
131,"Senior Data Scientist, Lodging Pricing",3.1,Hopper,Remote,2.0,Full-Time,N/A,,,,,,,,,
132,"Adjunct Faculty, Data Analytics, Artificial Intelligence",4.3,Indiana Wesleyan University,Remote,2.0,Full-Time,N/A,,,,,,,,,
133,"Lead Data Scientist - Search (NLP, Information Retrieval, Query, Applied ML)(Remote Or Hybrid)",3.5,Target,"On-Site,Remote",1.0,Full-Time,"$126,600 - $273,500 a year - Full-time",Minneapolis,MN,126600.0,273500.0,per year,200050.0,200050.0,5.0,$200001 - $250000
